user_id,username,email,phone,created_at,last_login,account_status,authentication_method,failed_login_attempts
1,user_syyzx,user_syyzx@example.com,+1-589-3266,2024-07-28 21:47:07,2025-01-17 21:47:07,active,SSO,2
2,user_rpiat,user_rpiat@company.org,+1-366-6820,2024-04-16 21:47:07,2025-03-10 21:47:07,active,SSO,0
3,user_qhdyh,user_qhdyh@example.com,+1-304-8130,2024-11-30 21:47:07,2025-01-18 21:47:07,disabled,SSO,3
4,user_fmwcx,user_fmwcx@example.com,+1-588-3059,2025-03-12 21:47:07,2025-02-04 21:47:07,disabled,MFA,3
5,user_gokwa,user_gokwa@example.com,+1-483-1559,2023-11-03 21:47:07,2025-03-07 21:47:07,disabled,SSO,2
6,user_shvqf,user_shvqf@example.com,+1-448-8351,2024-04-12 21:47:07,2025-01-02 21:47:07,active,SSO,4
7,user_quxgc,user_quxgc@example.com,+1-444-6314,2023-07-07 21:47:07,2025-01-26 21:47:07,active,password,2
8,user_sfnwu,user_sfnwu@example.com,+1-854-4065,2025-02-08 21:47:07,2025-02-17 21:47:07,active,SSO,0
9,user_gcvvr,user_gcvvr@example.com,+1-322-7552,2024-07-02 21:47:07,2024-12-23 21:47:07,disabled,MFA,4
10,user_bdito,user_bdito@test.com,+1-882-7411,2024-05-30 21:47:07,2025-02-01 21:47:07,disabled,MFA,1
11,user_zirqf,user_zirqf@test.com,+1-492-8195,2024-07-27 21:47:07,2025-02-09 21:47:07,active,password,5
12,user_vvlal,user_vvlal@example.com,+1-933-1605,2023-07-11 21:47:07,2025-01-30 21:47:07,suspended,password,2
13,user_gqhbx,user_gqhbx@company.org,+1-519-6833,2023-07-26 21:47:07,2025-03-06 21:47:07,suspended,MFA,2
14,user_rwnwj,user_rwnwj@company.org,+1-465-1374,2024-11-14 21:47:07,2025-02-17 21:47:07,active,SSO,4
15,user_lfneb,user_lfneb@company.org,+1-101-9513,2024-09-14 21:47:07,2025-02-06 21:47:07,disabled,password,0
16,user_vgkii,user_vgkii@example.com,+1-151-7166,2023-07-25 21:47:07,2025-02-19 21:47:07,suspended,password,1
17,user_vmwhu,user_vmwhu@test.com,+1-869-7185,2023-04-30 21:47:07,2025-02-01 21:47:07,suspended,MFA,0
18,user_xjbie,user_xjbie@test.com,+1-669-4667,2024-01-31 21:47:07,2025-01-01 21:47:07,disabled,SSO,4
19,user_fdefc,user_fdefc@test.com,+1-897-4038,2024-02-04 21:47:07,2025-01-07 21:47:07,disabled,password,0
20,user_vhmha,user_vhmha@test.com,+1-470-6232,2024-02-19 21:47:07,2024-12-20 21:47:07,disabled,password,2
21,user_myqos,user_myqos@example.com,+1-102-2522,2023-10-16 21:47:07,2024-12-23 21:47:07,active,MFA,4
22,user_cfjce,user_cfjce@company.org,+1-559-2429,2023-11-30 21:47:07,2025-01-05 21:47:07,disabled,MFA,4
23,user_oniif,user_oniif@test.com,+1-378-3703,2023-08-09 21:47:07,2025-01-12 21:47:07,active,SSO,5
24,user_rcwyb,user_rcwyb@test.com,+1-800-9068,2024-03-21 21:47:07,2025-01-27 21:47:07,disabled,MFA,1
25,user_jdyut,user_jdyut@company.org,+1-732-2240,2024-12-01 21:47:07,2024-12-22 21:47:07,suspended,SSO,5
26,user_bfsdt,user_bfsdt@test.com,+1-293-1175,2023-07-12 21:47:07,2024-12-30 21:47:07,active,SSO,1
27,user_djykp,user_djykp@example.com,+1-578-9945,2024-09-18 21:47:07,2025-02-09 21:47:07,active,SSO,0
28,user_adyoj,user_adyoj@company.org,+1-697-8195,2023-08-05 21:47:07,2025-01-14 21:47:07,suspended,SSO,3
29,user_aqqyl,user_aqqyl@company.org,+1-615-8843,2025-01-19 21:47:07,2025-03-06 21:47:07,disabled,SSO,3
30,user_eaeyt,user_eaeyt@company.org,+1-966-7959,2024-07-07 21:47:07,2025-03-08 21:47:07,disabled,MFA,3
31,user_xehqo,user_xehqo@example.com,+1-455-3097,2025-02-27 21:47:07,2025-02-04 21:47:07,disabled,MFA,2
32,user_zdyae,user_zdyae@test.com,+1-137-2970,2024-06-26 21:47:07,2025-02-05 21:47:07,disabled,password,4
33,user_euklo,user_euklo@example.com,+1-524-4023,2023-04-19 21:47:07,2025-02-28 21:47:07,suspended,password,3
34,user_nczbj,user_nczbj@company.org,+1-411-6203,2023-05-01 21:47:07,2024-12-29 21:47:07,suspended,password,0
35,user_totrs,user_totrs@company.org,+1-837-1534,2024-12-19 21:47:07,2025-01-05 21:47:07,active,MFA,0
36,user_shsza,user_shsza@example.com,+1-746-1471,2024-04-26 21:47:07,2024-12-31 21:47:07,disabled,MFA,3
37,user_gzvcv,user_gzvcv@company.org,+1-578-7711,2024-04-06 21:47:07,2025-03-10 21:47:07,suspended,password,2
38,user_dpjko,user_dpjko@example.com,+1-420-9522,2023-03-21 21:47:07,2024-12-18 21:47:07,active,password,5
