ID,AccountNumber,AccountType,Balance
1,GB82SVME74977749994038,Savings,10440.81
2,GB81KVQY08927601711037,Checking,16123.71
3,GB68LCMB30234531197351,Checking,92513.27
4,GB29UARU86448887076950,Investment,87073.6
5,GB05NVLW81428270051975,Savings,2021.09
6,GB55MTZM71391328091047,Investment,40596.95
7,GB17LCOG20246434862713,Checking,4813.07
8,GB72DIST37911747969284,Checking,68343.86
9,GB73QUJC38070020366884,Investment,54256.77
10,GB41GIBL13373586787457,Checking,9892.92
11,GB34JGJM55238531633537,Checking,4962.26
12,GB47AASW90040967822071,Checking,28569.55
13,GB51IPST96412065542682,Checking,50715.91
14,GB89YXDX52116784897243,Checking,19757.55
15,GB82RTTR39389208877516,Investment,72844.54
16,GB20TGYL63101555910690,Checking,52176.03
17,GB75SMAC83751840344775,Checking,76903.64
18,GB92HYFW34531307703648,Checking,17873.43
19,GB56XQYP91968760435056,Savings,90243.23
20,GB26JQCU46353771625189,Investment,21287.8
21,GB14WSPU38234615004734,Savings,91328.1
22,GB84YTJY94972750755816,Investment,9650.77
23,GB68TSWX23867584437898,Investment,21195.51
24,GB39XAGZ17153200448012,Savings,30719.11
25,GB97RUPM08276364869732,Checking,4124.84
26,GB14JKMZ00303071913249,Investment,8432.17
27,GB45ROGU82566216982925,Investment,48213.77
28,GB18ISWQ37654992757829,Investment,8894.96
29,GB17HWVB58469318523548,Investment,81630.28
30,GB53SJXO43132509787512,Investment,94865.59
31,GB34OPYO74324769688450,Investment,31434.04
32,GB88KOJM13970800872165,Investment,33748.13
33,GB32XTLF07227195840688,Investment,97670.92
34,GB28ZPLB63640493317617,Checking,63253.41
35,GB67LGYX44633501568386,Savings,69496.37
36,GB84IDDD76209321727896,Checking,66648.66
37,GB15YNHW64241347425972,Checking,36738.57
38,GB24FKKR26186322663430,Investment,82499.45
39,GB95WOTF54744085156519,Checking,79870.5
40,GB77HDSG62105825060071,Investment,70447.32
41,GB56FKMK79474924844701,Savings,63771.78
42,GB57NPNV51769321276614,Savings,78355.5
43,GB73HAHI21618913412303,Checking,15482.19
44,GB07BWUN30060798130663,Investment,30925.37
45,GB83QTDS18464572834784,Checking,48239.45
46,GB39HULX21177553630067,Checking,7705.94
47,GB16WXSK23615891834176,Savings,90900.37
48,GB41HVOF00019703937759,Investment,26366.4
49,GB05DGFK89354133624239,Investment,93485.09
50,GB86EERX48096874378983,Savings,6476.08
51,GB03IQBJ14732537629307,Checking,53195.25
52,GB79PPKH79193427400768,Investment,67743.51
53,GB20HGFP39679314262036,Investment,19522.68
54,GB35ADYK51138027375832,Savings,54381.85
55,GB56SRVP64570078651271,Savings,86084.8
56,GB64FRBU12378730789493,Savings,55792.68
57,GB24HHSH37007744735036,Savings,11047.89
58,GB45TUBF09313572101447,Checking,47931.63
59,GB73DYZM89476970448693,Investment,21107.17
60,GB15OEWF82141705581037,Investment,67198.43
61,GB49QXCF27078648220278,Investment,38832.95
62,GB98ZCBD83558129215766,Checking,28554.89
63,GB40KJQB74875654035882,Checking,96664.01
64,GB81FLJV69964164412110,Savings,91719.12
65,GB56PFQP16403367328484,Investment,73036.45
66,GB79NCFK72743662916265,Investment,11597.24
67,GB89SSCP89390885120456,Savings,82442.73
68,GB65MKBY89217664329897,Savings,48047.82
69,GB50GJHX14909634699892,Checking,54389.98
70,GB95GKGM76155690667603,Savings,63778.25
71,GB91BZKI37204686624381,Checking,61037.85
72,GB97DUHB22965927747728,Checking,38198.24
73,GB92YZQG49222291353481,Savings,53865.33
74,GB57BDFU94916369271536,Savings,25935.69
75,GB78VTXL38663203968727,Investment,77700.57
76,GB30TXLY52015678051205,Investment,11049.37
77,GB36NRDW38992194035355,Checking,81909.4
78,GB14UHQT13770927008194,Checking,29073.05
79,GB45CRTB52735956120678,Checking,21790.04
80,GB04MVJG14961785361921,Checking,78223.1
81,GB12ISZF86997744179297,Investment,54905.73
82,GB07RVMS69810166080144,Savings,21867.79
83,GB32LSEL67023388028798,Savings,68660.55
84,GB04ZFKI39006045389566,Checking,3616.95
85,GB85AMDD41423612995093,Checking,77517.26
86,GB60PBGP58275840601042,Checking,67467.61
87,GB70LKBO13237297365749,Checking,62305.03
88,GB22HMQZ63986534230066,Savings,3893.75
89,GB74IKDD08561321721116,Checking,16802.85
90,GB33EUEP35586933069297,Checking,61821.26
91,GB65NMSH69616717371659,Checking,51147.19
92,GB10DVYS10554925956848,Checking,25075.49
93,GB13NZSI98223812683760,Savings,11899.76
94,GB75LAIQ10199302729708,Investment,26571.48
95,GB62TCLC26669496450862,Checking,18051.94
96,GB65ZRJC03223020687263,Savings,1158.8
97,GB29JGHA54765477416605,Checking,12691.84
98,GB95CRWX21389170393328,Savings,95448.89
99,GB63OKAH64901038213223,Investment,84484.33
100,GB35DRHP98751360870944,Checking,67615.95
101,GB79UMRY39008329943383,Savings,84836.72
102,GB85YTVQ65864854854889,Savings,18743.55
103,GB20VFRU16425648219152,Savings,17284.87
104,GB91IPBK70247079384834,Checking,37589.05
105,GB24IPAL81179993455186,Investment,47032.67
106,GB54FINS21730846506857,Investment,7248.58
107,GB21HWQJ36983336076111,Savings,2090.74
108,GB81FKIY68286261373997,Savings,48239.27
109,GB24RLHC52338622303364,Investment,11928.21
110,GB53TKBY59448955310735,Savings,21130.49
111,GB96NDXS36637097601891,Checking,27763.58
112,GB10ABYN05060520396460,Checking,47808.79
113,GB62YUSD15863389722477,Checking,4233.51
114,GB70BZOY71094064728051,Savings,74946.75
115,GB57UXDG28373973561712,Savings,48029.13
116,GB31DICB43340446616932,Savings,73152.66
117,GB17QLPR71645713772069,Savings,26586.28
118,GB18ORGG60439598307387,Savings,28142.65
119,GB20CHHB27644437001342,Checking,36249.57
120,GB32WJHR77837888482480,Checking,66122.3
121,GB14BWZN16406259551204,Savings,81667.29
122,GB12DZYT77028376235174,Checking,59162.25
123,GB41KIEQ11593463700496,Savings,79345.1
124,GB78AAGU67930841233570,Investment,69153.31
125,GB48JGEO75839717082360,Checking,16124.54
126,GB76WBGJ95281103435852,Checking,68621.59
127,GB68UKYD78831316150982,Checking,36920.37
128,GB45LAAD78551068362028,Investment,6224.03
129,GB58EUYG74044742698103,Checking,12568.54
130,GB32CDYT46583640881794,Checking,24770.59
131,GB90BWRL54907983208734,Investment,9487.77
132,GB98LVGR32123296868240,Savings,26040.96
133,GB37BDCP40920984470833,Savings,2781.45
134,GB06DORV49772264539309,Savings,66406.38
135,GB34BUHS38656819176110,Investment,55359.7
136,GB92KKZI94268054046680,Checking,83972.68
137,GB05NGSO86471220728252,Checking,38796.97
138,GB92YMFH68312241135133,Savings,40249.74
139,GB22MYSC42568001642919,Savings,62699.81
140,GB80KTJB13310101768357,Checking,92800.07
141,GB18TXOV79931455261310,Checking,49415.57
142,GB71OVFU02354070424286,Investment,88532.08
143,GB57NNZV41399244820924,Checking,19747.99
144,GB70WTEB80938853115260,Checking,86096.05
145,GB04XXJN27926883370200,Savings,61856.39
146,GB03USWS95901270320083,Savings,4333.02
147,GB18BMOX82004119956844,Investment,18504.46
148,GB78AIYF45976351901993,Checking,49575.43
149,GB75ACTR05701748546799,Investment,82486.06
150,GB98WRAO32985139501039,Savings,80938.42
151,GB32XLMD46776442003724,Checking,35597.13
152,GB19HZKY51062233330544,Checking,64631.29
153,GB68DLXI94582090917449,Investment,39019.88
154,GB13CBKZ02684510138143,Checking,45118.47
155,GB21ITYH81301806617081,Savings,5678.32
156,GB51GAMX93936360346226,Savings,78382.6
157,GB57GELZ84518582644222,Checking,79037.19
158,GB16QEQD84372637067147,Investment,72729.67
159,GB52ILMJ09385849741034,Investment,29315.35
160,GB04NOCY27371156177669,Savings,91586.44
161,GB05GBFD76644162362546,Investment,76389.26
162,GB40WWYD75231767490288,Checking,32283.87
163,GB21WUAV07917381547994,Checking,29642.01
164,GB57UJWV70027606710926,Investment,64892.69
165,GB92DAPU71435741017034,Savings,97641.44
166,GB78CHBL63422550879038,Savings,18625.78
167,GB69SYQD34396440908283,Checking,73896.19
168,GB17DFDO61588363082026,Checking,63883.98
169,GB09TXTY48306358954655,Savings,53331.82
170,GB36QSHA85970849784433,Checking,31783.86
171,GB92CVDE86308233618054,Savings,2375.34
172,GB64COKM99082298112509,Savings,37261.39
173,GB05SVPR70876335809347,Savings,27259.31
174,GB39MHDE37634964658083,Investment,25472.26
175,GB15TFHL73769944010543,Checking,9670.58
176,GB67TGHV58965683186273,Checking,78230.21
177,GB83FSVO37129669490871,Investment,39896.48
178,GB22VYSA14637749378920,Investment,93188.09
179,GB42HKTR78135082724373,Investment,79564.01
180,GB23WMZA50125124887634,Savings,92157.65
181,GB29PFOF92029778606803,Checking,77629.16
182,GB67IZWT80346104064067,Checking,87688.67
183,GB59KMCH84369023731686,Checking,52066.14
184,GB23ZLQI52765336354005,Investment,91920.37
185,GB61MUWS92113718682909,Checking,1949.87
186,GB91JZOK62851115096759,Investment,22371.95
187,GB07EQPG45902124364434,Investment,6392.61
188,GB34TYMD46716886014894,Investment,81379.29
189,GB61NZBB36524154105096,Investment,13061.92
190,GB03EJWE48103314950257,Investment,35720.56
191,GB62BDIO35331030914574,Savings,69934.06
192,GB13KIXO42325994482760,Investment,95640.65
193,GB88XBLF43828712590040,Investment,18381.3
194,GB79NPCV67358198826410,Investment,25498.07
195,GB52VLXA45391059090003,Investment,77204.09
196,GB61YUOE73075685535957,Checking,30425.79
197,GB98WCQI78409666373514,Savings,7317.25
198,GB45SLQY04404565219658,Investment,79303.68
199,GB08YZCH22959184051749,Checking,87465.32
200,GB05YDNA01751278972192,Investment,42100.38
201,GB55ZIHP67784803646980,Checking,90592.08
202,GB04MBEM16988918431155,Checking,12118.44
203,GB49WQNQ39678411766615,Savings,4933.64
204,GB65JXUE69452036736798,Checking,96766.89
205,GB69IZRK71108785655112,Checking,38059.0
206,GB86DGVI95949226963186,Checking,9245.69
207,GB71IILW67558302318064,Checking,67215.4
208,GB82OOMS22357215784280,Savings,97230.34
209,GB77CGKC29667098478305,Checking,52196.41
210,GB38XSMU50405689927785,Savings,10298.62
211,GB77IBUI81868996381032,Checking,58171.72
212,GB89IVWF84422323567553,Savings,75118.22
213,GB33SAXK19962251077027,Savings,28544.89
214,GB31PPAE72978169309317,Investment,79802.52
215,GB57LVUM28108424384800,Savings,99692.92
216,GB59ZXJQ52581572386909,Savings,75831.68
217,GB56JSGM51503465111228,Savings,58040.76
218,GB54RIPT76858515855772,Investment,59588.76
219,GB30QXDC34923807087240,Checking,41735.62
220,GB64NOLV98707921874948,Investment,4509.93
221,GB79XIFZ16768061424297,Savings,9776.13
222,GB90ZCOW09653814176381,Savings,53641.02
223,GB39CTPS00000773224266,Investment,34407.03
224,GB90LZWE94301712708631,Investment,22758.69
